StoX	RstoxFramework	Dependencies	OptionalDependencies	Official	Date
3.0.1	3.0.1	RstoxBase_1.3.1,RstoxData_1.1.1	""	FALSE	2021-03-21
3.0.2	3.0.3	RstoxBase_1.3.3,RstoxData_1.1.2	""	FALSE	2021-03-30
3.0.3	3.0.6	RstoxBase_1.3.4,RstoxData_1.1.2	""	FALSE	2021-04-07
3.0.4	3.0.8	RstoxBase_1.3.5,RstoxData_1.1.2	""	FALSE	2021-04-12
3.0.5	3.0.11	RstoxBase_1.3.7,RstoxData_1.1.2	""	FALSE	2021-04-12
3.0.6	3.0.24	RstoxBase_1.3.27,RstoxData_1.1.14	""	FALSE	2021-06-09
3.0.7	3.0.26	RstoxBase_1.3.28,RstoxData_1.1.14	""	FALSE	2021-06-11
3.0.8	3.0.27	RstoxBase_1.3.28,RstoxData_1.1.15	""	FALSE	2021-06-12
3.0.9	3.0.28	RstoxBase_1.3.29,RstoxData_1.1.15	""	FALSE	2021-06-14
3.0.10	3.0.28	RstoxBase_1.3.29,RstoxData_1.1.15	""	FALSE	2021-06-14
3.0.11	3.0.29	RstoxBase_1.3.31,RstoxData_1.1.15	""	FALSE	2021-06-15
3.0.12	3.0.30	RstoxBase_1.3.32,RstoxData_1.1.15	""	FALSE	2021-06-17
3.0.13	3.0.31	RstoxBase_1.3.32,RstoxData_1.1.15	""	FALSE	2021-06-17
3.1.0	3.1.0	RstoxBase_1.4.0,RstoxData_1.2.0	""	TRUE	2021-06-18
3.1.1	3.1.3	RstoxBase_1.4.4,RstoxData_1.2.3	""	FALSE	2021-08-19
3.1.2	3.1.4	RstoxBase_1.4.6,RstoxData_1.2.4	""	FALSE	2021-09-07
3.1.3	3.1.6	RstoxBase_1.4.11,RstoxData_1.2.5	""	FALSE	2021-09-15
3.1.4	3.1.8	RstoxBase_1.4.12,RstoxData_1.2.5	""	FALSE	2021-09-20
3.1.5	3.1.9	RstoxBase_1.4.13,RstoxData_1.2.6	""	FALSE	2021-09-28
3.1.6	3.1.10	RstoxBase_1.4.15,RstoxData_1.2.8	""	FALSE	2021-10-06
3.1.7	3.1.12	RstoxBase_1.4.17,RstoxData_1.2.9	""	FALSE	2021-10-16
3.1.8	3.1.13	RstoxBase_1.4.21,RstoxData_1.2.12	""	FALSE	2021-11-01
3.1.9	3.1.14	RstoxBase_1.4.22,RstoxData_1.2.15	""	FALSE	2021-11-04
3.1.10	3.1.15	RstoxBase_1.4.22,RstoxData_1.2.15	""	FALSE	2021-11-04
3.1.11	3.1.16	RstoxBase_1.4.23,RstoxData_1.2.16	""	FALSE	2021-11-16
3.1.12	3.1.17	RstoxBase_1.4.25,RstoxData_1.2.18	""	FALSE	2021-11-22
3.1.13	3.1.18	RstoxBase_1.4.26,RstoxData_1.2.20	""	FALSE	2021-12-03
3.1.14	3.1.19	RstoxBase_1.4.28,RstoxData_1.2.20	""	FALSE	2021-12-15
3.1.15	3.1.20	RstoxBase_1.4.28,RstoxData_1.2.20	""	FALSE	2021-12-15
3.1.16	3.1.21	RstoxBase_1.4.31,RstoxData_1.2.21	""	FALSE	2021-12-22
3.2.0	3.2.0	RstoxBase_1.5.0,RstoxData_1.3.0	""	TRUE	2021-12-22
3.2.1	3.2.1	RstoxBase_1.5.1,RstoxData_1.3.2	""	FALSE	2022-01-07
3.2.2	3.2.2	RstoxBase_1.5.2,RstoxData_1.3.3	""	FALSE	2022-01-10
3.2.3	3.2.3	RstoxBase_1.5.3,RstoxData_1.3.5	""	FALSE	2022-01-12
3.2.4	3.2.4	RstoxBase_1.5.4,RstoxData_1.3.5	""	FALSE	2022-01-13
3.2.5	3.2.5	RstoxBase_1.7.0,RstoxData_1.5.0	""	FALSE	2022-01-14
3.3.0	3.3.0	RstoxBase_1.7.0,RstoxData_1.5.0	""	TRUE	2022-01-25
3.3.1	3.3.1	RstoxBase_1.7.1,RstoxData_1.5.4	""	FALSE	2022-02-10
3.3.2	3.3.2	RstoxBase_1.7.2,RstoxData_1.5.8	""	FALSE	2022-02-15
3.3.3	3.3.3	RstoxBase_1.7.4,RstoxData_1.5.9	""	FALSE	2022-03-02
3.3.4	3.3.4	RstoxBase_1.7.6,RstoxData_1.5.12	""	FALSE	2022-03-03
3.3.5	3.3.5	RstoxBase_1.7.8,RstoxData_1.5.14	""	FALSE	2022-03-15
3.3.6	3.3.6	RstoxBase_1.7.9,RstoxData_1.5.16	""	FALSE	2022-03-22
3.3.7	3.3.7	RstoxBase_1.7.10,RstoxData_1.5.17	""	FALSE	2022-03-24
3.3.8	3.3.8	RstoxBase_1.7.11,RstoxData_1.5.17	""	FALSE	2022-03-29
3.3.9	3.3.9	RstoxBase_1.7.13,RstoxData_1.5.18	""	FALSE	2022-03-31
3.3.10	3.3.10	RstoxBase_1.7.14,RstoxData_1.5.18	""	FALSE	2022-03-31
3.4.0	3.4.0	RstoxBase_1.8.0,RstoxData_1.6.0	""	TRUE	2022-05-13
3.4.1	3.4.1	RstoxBase_1.9.1,RstoxData_1.6.2	""	FALSE	2022-06-02
3.4.2	3.4.2	RstoxBase_1.9.3,RstoxData_1.6.3	""	FALSE	2022-06-22
3.4.3	3.4.3	RstoxBase_1.9.5,RstoxData_1.6.7	""	FALSE	2022-08-07
